,Cities,Max Temperature,Humidity,Cloudiness,Windspeed,Lat,Lon,Country,Date
0,santa vitoria do palmar,52.61,87.0,80.0,13.8,-33.52,-53.37,BR,1532505673
1,margate,48.2,61.0,40.0,8.05,-43.03,147.26,AU,1532502000
2,hermanus,58.1,76.0,88.0,3.18,-34.42,19.24,ZA,1532505718
3,severo-kurilsk,51.35,96.0,12.0,6.64,50.68,156.12,RU,1532505718
4,belaya gora,48.83,97.0,92.0,10.0,68.54,146.19,RU,1532505719
6,komsomolskiy,74.3,43.0,0.0,15.14,67.55,63.78,RU,1532505719
7,ushuaia,44.6,42.0,20.0,16.11,-54.81,-68.31,AR,1532502000
8,ancud,27.86,77.0,20.0,2.39,-41.87,-73.83,CL,1532505720
9,hobart,48.2,61.0,40.0,8.05,-42.88,147.33,AU,1532502000
11,hilo,77.0,78.0,1.0,4.7,19.71,-155.08,US,1532501760
12,cidreira,57.83,98.0,92.0,15.59,-30.17,-50.22,BR,1532505720
13,deputatskiy,40.46,99.0,92.0,7.99,69.3,139.9,RU,1532505721
14,coihaique,37.4,86.0,0.0,8.05,-45.58,-72.07,CL,1532502000
15,rikitea,74.93,98.0,0.0,8.43,-23.12,-134.97,PF,1532505721
16,necochea,27.68,100.0,0.0,3.4,-38.55,-58.74,AR,1532505722
17,busselton,58.1,100.0,100.0,25.21,-33.64,115.35,AU,1532505723
18,esperance,77.0,83.0,20.0,5.82,10.24,-61.45,TT,1532502000
19,vardo,75.2,88.0,75.0,9.17,39.62,-77.74,US,1532504100
20,harper,87.8,57.0,1.0,5.08,30.3,-99.24,US,1532502900
22,tuktoyaktuk,50.54,74.0,0.0,13.8,69.44,-133.03,CA,1532505724
23,moose factory,51.8,100.0,1.0,2.24,51.26,-80.61,CA,1532502000
24,khatanga,59.81,72.0,32.0,9.22,71.98,102.47,RU,1532505725
25,new norfolk,48.2,61.0,40.0,8.05,-42.78,147.06,AU,1532502000
27,gat,81.77,70.0,0.0,12.01,14.69,-16.54,SN,1532505726
28,ballina,53.6,93.0,75.0,10.29,54.11,-9.15,IE,1532502000
29,herat,100.4,10.0,0.0,26.4,34.35,62.22,AF,1532501700
30,sovetskiy,82.94,58.0,12.0,8.21,56.76,48.47,RU,1532505727
31,lompoc,57.2,87.0,1.0,3.36,34.64,-120.46,US,1532504100
34,port macquarie,62.6,45.0,0.0,8.05,-31.43,152.91,AU,1532502000
35,port-gentil,75.2,83.0,40.0,11.41,-0.72,8.78,GA,1532502000
36,lazaro cardenas,85.1,27.0,56.0,10.0,28.39,-105.62,MX,1532505728
37,barrow,28.13,86.0,0.0,7.54,-38.31,-60.23,AR,1532505729
38,punta arenas,39.2,69.0,75.0,19.46,-53.16,-70.91,CL,1532502000
39,castro,30.11,100.0,48.0,1.5,-42.48,-73.76,CL,1532505730
40,torbay,64.4,100.0,75.0,21.92,47.66,-52.73,CA,1532504100
41,bredasdorp,59.0,87.0,76.0,3.36,-34.53,20.04,ZA,1532502000
42,upernavik,34.7,100.0,92.0,2.62,72.79,-56.15,GL,1532505731
44,bluff,60.53,51.0,0.0,2.73,-23.58,149.07,AU,1532505731
46,iqaluit,46.4,65.0,90.0,6.64,63.75,-68.52,CA,1532502000
48,geraldton,59.0,82.0,40.0,4.7,49.72,-86.95,CA,1532502000
49,uige,76.42,37.0,0.0,4.16,-7.61,15.06,AO,1532505779
50,mataura,31.37,83.0,88.0,3.18,-46.19,168.86,NZ,1532505734
51,bethel,64.4,68.0,75.0,3.36,60.79,-161.76,US,1532501580
53,nanortalik,39.29,96.0,8.0,8.99,60.14,-45.24,GL,1532505735
54,pevek,40.55,99.0,0.0,5.08,69.7,170.27,RU,1532505736
55,jamestown,49.28,76.0,0.0,3.4,-33.21,138.6,AU,1532505736
56,isangel,72.41,100.0,76.0,17.49,-19.55,169.27,VU,1532505737
57,owando,82.49,74.0,0.0,3.18,-0.49,15.91,CG,1532505737
58,vaini,73.67,100.0,88.0,9.55,15.34,74.49,IN,1532505737
60,bilma,97.88,32.0,0.0,11.45,18.69,12.92,NE,1532505738
61,pangnirtung,39.11,95.0,92.0,3.96,66.15,-65.72,CA,1532505738
62,grand gaube,77.0,61.0,40.0,14.99,-20.01,57.66,MU,1532502000
63,ilulissat,37.4,93.0,88.0,3.36,69.22,-51.1,GL,1532505000
64,thompson,50.0,87.0,90.0,9.17,55.74,-97.86,CA,1532502000
65,san luis,25.7,70.0,0.0,3.96,-33.3,-66.34,AR,1532505740
66,corpus christi,82.4,94.0,1.0,4.7,27.8,-97.4,US,1532503620
67,pittsburg,73.4,68.0,1.0,6.93,38.02,-121.89,US,1532504400
68,klaksvik,51.8,93.0,88.0,11.41,62.23,-6.59,FO,1532503200
69,impfondo,81.5,84.0,36.0,3.06,1.62,18.06,CD,1532505742
70,mar del plata,42.17,57.0,80.0,6.64,-46.43,-67.52,AR,1532505742
71,petropavlovsk-kamchatskiy,55.4,100.0,90.0,11.18,53.05,158.65,RU,1532503800
73,kapaa,82.4,78.0,40.0,12.75,22.08,-159.32,US,1532502420
74,grindavik,48.2,100.0,75.0,9.17,63.84,-22.43,IS,1532503800
75,lebu,60.8,87.0,75.0,6.93,8.96,38.73,ET,1532502000
76,port lincoln,56.48,92.0,0.0,6.76,-34.72,135.86,AU,1532505744
77,port elizabeth,75.2,94.0,90.0,9.17,39.31,-74.98,US,1532505240
78,yaan,73.58,100.0,92.0,3.4,7.38,8.57,NG,1532505745
79,kulhudhuffushi,79.97,100.0,80.0,20.85,6.62,73.07,MV,1532505745
80,matara,37.04,97.0,88.0,1.95,-13.74,-72.9,PE,1532505745
81,sinnamary,79.88,98.0,32.0,7.2,5.38,-52.96,GF,1532505746
82,zhob,90.23,31.0,24.0,3.96,31.34,69.45,PK,1532505746
83,cabo san lucas,78.8,100.0,20.0,10.11,22.89,-109.91,MX,1532505747
84,cayenne,71.6,100.0,90.0,5.61,4.94,-52.33,GF,1532503800
85,ambulu,77.9,88.0,8.0,10.11,-8.35,113.61,ID,1532505747
86,ladysmith,68.27,27.0,0.0,3.74,-28.55,29.78,ZA,1532505694
87,dikson,42.17,100.0,80.0,19.51,73.51,80.55,RU,1532505748
88,vostok,83.57,65.0,76.0,5.08,46.45,135.83,RU,1532505748
89,presidencia roque saenz pena,38.75,82.0,24.0,7.09,-26.79,-60.44,AR,1532505748
90,gamba,42.17,100.0,32.0,1.61,28.28,88.52,CN,1532505749
91,bremervorde,86.0,42.0,0.0,4.7,53.48,9.13,DE,1532505000
92,cherskiy,53.6,50.0,76.0,5.08,68.75,161.3,RU,1532505684
94,horsham,50.9,97.0,48.0,7.65,-36.71,142.2,AU,1532505749
95,peterhead,59.0,77.0,20.0,10.29,-34.83,138.5,AU,1532502000
96,acari,65.3,93.0,0.0,12.57,-6.44,-36.64,BR,1532505750
97,chongwe,67.37,53.0,8.0,9.22,-15.33,28.68,ZM,1532505750
98,albany,75.2,73.0,40.0,5.82,42.65,-73.75,US,1532505060
100,hede,80.6,44.0,0.0,6.93,60.45,15.49,SE,1532503200
101,worland,73.4,43.0,1.0,8.05,44.02,-107.96,US,1532501580
102,puerto ayora,70.34,100.0,48.0,10.45,-0.74,-90.35,EC,1532505752
105,shumskiy,59.63,93.0,92.0,2.73,54.83,99.13,RU,1532505752
106,adolfo lopez mateos,83.75,74.0,0.0,2.06,26.8,-109.39,MX,1532505753
108,collierville,77.0,100.0,1.0,2.73,35.04,-89.66,US,1532502900
109,souillac,71.6,73.0,0.0,3.36,45.6,-0.6,FR,1532503800
110,avarua,73.4,88.0,75.0,5.82,-21.21,-159.78,CK,1532502000
111,luderitz,63.77,63.0,0.0,10.56,-26.65,15.16,NA,1532505754
112,hithadhoo,82.13,100.0,76.0,18.84,-0.6,73.08,MV,1532505754
113,arraial do cabo,66.47,100.0,56.0,1.72,-22.97,-42.02,BR,1532505754
114,mahebourg,77.0,61.0,40.0,14.99,-20.41,57.7,MU,1532502000
